epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.88085,1.356,2.19488,1.20735,0.87805,0.75676,0.85621,0.49031,1.41592,2.29114,1.29846,0.000660767,0.000660767,0.000660767
2,11.0412,1.39289,1.48843,1.21528,0.89803,0.87275,0.91803,0.54207,1.39822,1.28829,1.29807,0.00130115,0.00130115,0.00130115
3,16.1178,1.42634,1.27628,1.24911,0.88308,0.88454,0.92732,0.53298,1.40194,1.18311,1.33672,0.00191513,0.00191513,0.00191513
4,21.1238,1.39637,1.05106,1.24817,0.95341,0.92181,0.96708,0.55245,1.39648,0.91218,1.28119,0.0018812,0.0018812,0.0018812
5,26.0943,1.35385,0.94952,1.21291,0.85044,0.81965,0.86031,0.43233,1.59256,1.17939,1.38425,0.0018416,0.0018416,0.0018416
6,31.1113,1.34994,0.89143,1.22436,0.9273,0.91934,0.96295,0.573,1.41409,0.84354,1.32288,0.001802,0.001802,0.001802
7,36.1653,1.3247,0.8538,1.19899,0.9152,0.93694,0.94042,0.57134,1.32175,0.84558,1.24433,0.0017624,0.0017624,0.0017624
8,41.1321,1.29041,0.8357,1.18324,0.95401,0.93452,0.9498,0.61023,1.26159,0.85905,1.19534,0.0017228,0.0017228,0.0017228
9,46.1146,1.27073,0.80034,1.16769,0.9538,0.92988,0.9518,0.56743,1.31864,0.79189,1.22703,0.0016832,0.0016832,0.0016832
10,51.1132,1.24405,0.78036,1.15399,0.95319,0.91716,0.94741,0.58556,1.34097,0.79834,1.2426,0.0016436,0.0016436,0.0016436
11,56.0991,1.23878,0.76181,1.15297,0.97381,0.92793,0.95646,0.56524,1.34858,0.75304,1.25364,0.001604,0.001604,0.001604
12,61.1063,1.2409,0.74474,1.15284,0.94533,0.93467,0.95202,0.60982,1.29557,0.82147,1.20098,0.0015644,0.0015644,0.0015644
13,66.1084,1.21576,0.7179,1.1339,0.98418,0.94595,0.97064,0.63691,1.21088,0.69813,1.17258,0.0015248,0.0015248,0.0015248
14,71.1111,1.17968,0.70379,1.13026,0.93563,0.93694,0.95752,0.64203,1.18363,0.70364,1.15452,0.0014852,0.0014852,0.0014852
15,76.0638,1.19268,0.68923,1.12707,0.96738,0.95495,0.96514,0.63441,1.22971,0.688,1.17818,0.0014456,0.0014456,0.0014456
16,81.0329,1.17417,0.68416,1.11234,0.97234,0.95005,0.97157,0.65193,1.214,0.67914,1.16921,0.001406,0.001406,0.001406
17,85.9807,1.17809,0.66386,1.10716,0.97255,0.92793,0.9746,0.64747,1.17558,0.67205,1.12736,0.0013664,0.0013664,0.0013664
